"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","1.0","1.0","0.0","2","1","false","""Metabolite8""","1.0","0","2","0","1.0","false","0","""Metabolite8""","2","0.0"
"1.5","0.0","0.6666666666666666","0.0","1","2","false","""Metabolite16""","2.0","0","1","0","0.75","false","0","""Metabolite16""","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","""Metabolite7""","1.0","0","1","0","1.0","false","0","""Metabolite7""","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","""Metabolite14""","1.0","0","1","0","1.0","false","0","""Metabolite14""","0","0.0"
"1.0","1.0","1.0","0.0","2","1","false","""Metabolite6""","1.0","0","2","0","1.0","false","0","""Metabolite6""","2","0.0"
"1.5","0.0","0.6666666666666666","0.0","1","2","false","""Metabolite10""","2.0","0","1","0","0.75","false","0","""Metabolite10""","0","0.0"
"1.5","0.0","0.6666666666666666","0.0","1","2","false","""Metabolite5""","2.0","0","1","0","0.75","false","0","""Metabolite5""","0","0.0"
"1.5","0.0","0.6666666666666666","0.0","1","2","false","""Metabolite3""","2.0","0","1","0","0.75","false","0","""Metabolite3""","0","0.0"
